Dates;Jour;0-10;10-20;20-30;30-40;40-50;50-60;60-70;70-80;80-90;90+
01-03-20;1;1.1;0.5;1.6;3.8;9.1;16.2;18.6;21.3;21.8;6.1
02-03-20;2;1.1;0.5;1.6;3.8;9.1;16.2;18.6;21.3;21.8;6.1
03-03-20;3;1.1;0.5;1.6;3.8;9.1;16.2;18.6;21.3;21.8;6.1
04-03-20;4;1.1;0.5;1.6;3.8;9.1;16.2;18.6;21.3;21.8;6.1
05-03-20;5;1.1;0.5;1.6;3.8;9.1;16.2;18.6;21.3;21.8;6.1
06-03-20;6;1.1;0.5;1.6;3.8;9.1;16.2;18.6;21.3;21.8;6.1
07-03-20;7;1.1;0.5;1.6;3.8;9.1;16.2;18.6;21.3;21.8;6.1
08-03-20;8;1.2;0.5;1.6;3.9;8.7;15.6;18.1;21.1;23;6.3
09-03-20;9;1.2;0.5;1.6;3.9;8.7;15.6;18.1;21.1;23;6.3
10-03-20;10;1.2;0.5;1.6;3.9;8.7;15.6;18.1;21.1;23;6.3
11-03-20;11;1.2;0.5;1.6;3.9;8.7;15.6;18.1;21.1;23;6.3
12-03-20;12;1.2;0.5;1.6;3.9;8.7;15.6;18.1;21.1;23;6.3
13-03-20;13;1.2;0.5;1.6;3.9;8.7;15.6;18.1;21.1;23;6.3
14-03-20;14;1.2;0.5;1.6;3.9;8.7;15.6;18.1;21.1;23;6.3
15-03-20;15;1.2;0.5;1.7;4;8.5;15.4;18;21;23.4;6.4
16-03-20;16;1.2;0.5;1.7;4;8.5;15.4;18;21;23.4;6.4
17-03-20;17;1.2;0.5;1.7;4;8.5;15.4;18;21;23.4;6.4
18-03-20;18;1.2;0.5;1.7;4;8.5;15.4;18;21;23.4;6.4
19-03-20;19;1.2;0.5;1.7;4;8.5;15.4;18;21;23.4;6.4
20-03-20;20;1.2;0.5;1.7;4;8.5;15.4;18;21;23.4;6.4
21-03-20;21;1.2;0.5;1.7;4;8.5;15.4;18;21;23.4;6.4
22-03-20;22;1.2;0.5;1.8;4.1;8.3;15.4;17.7;21;23.4;6.7
23-03-20;23;1.2;0.5;1.8;4.1;8.3;15.4;17.7;21;23.4;6.7
24-03-20;24;1.2;0.5;1.8;4.1;8.3;15.4;17.7;21;23.4;6.7
25-03-20;25;1.2;0.5;1.8;4.1;8.3;15.4;17.7;21;23.4;6.7
26-03-20;26;1.2;0.5;1.8;4.1;8.3;15.4;17.7;21;23.4;6.7
27-03-20;27;1.2;0.5;1.8;4.1;8.3;15.4;17.7;21;23.4;6.7
28-03-20;28;1.2;0.5;1.8;4.1;8.3;15.4;17.7;21;23.4;6.7
29-03-20;29;1.2;0.5;1.8;4;8.2;15.3;17.4;20.9;23.7;7
30-03-20;30;1.2;0.5;1.8;4;8.2;15.3;17.4;20.9;23.7;7
31-03-20;31;1.2;0.5;1.8;4;8.2;15.3;17.4;20.9;23.7;7
01-04-20;32;1.2;0.5;1.8;4;8.2;15.3;17.4;20.9;23.7;7
02-04-20;33;1.2;0.5;1.8;4;8.2;15.3;17.4;20.9;23.7;7
03-04-20;34;1.2;0.5;1.8;4;8.2;15.3;17.4;20.9;23.7;7
04-04-20;35;1.2;0.5;1.8;4;8.2;15.3;17.4;20.9;23.7;7
05-04-20;36;1.1;0.5;1.9;4.1;8.1;15.2;17.2;20.7;24;7.1
06-04-20;37;1.1;0.5;1.9;4.1;8.1;15.2;17.2;20.7;24;7.1
07-04-20;38;1.1;0.5;1.9;4.1;8.1;15.2;17.2;20.7;24;7.1
08-04-20;39;1.1;0.5;1.9;4.1;8.1;15.2;17.2;20.7;24;7.1
09-04-20;40;1.1;0.5;1.9;4.1;8.1;15.2;17.2;20.7;24;7.1
10-04-20;41;1.1;0.5;1.9;4.1;8.1;15.2;17.2;20.7;24;7.1
11-04-20;42;1.1;0.5;1.9;4.1;8.1;15.2;17.2;20.7;24;7.1
12-04-20;43;1.1;0.5;1.9;4.1;8.1;15.2;17.2;20.7;24.1;7.1
13-04-20;44;1.1;0.5;1.9;4.1;8.1;15.2;17.2;20.7;24.1;7.1
14-04-20;45;1.1;0.5;1.9;4.1;8.1;15.2;17.2;20.7;24.1;7.1
15-04-20;46;1.1;0.5;1.9;4.1;8.1;15.2;17.2;20.7;24.1;7.1
16-04-20;47;1.1;0.5;1.9;4.1;8.1;15.2;17.2;20.7;24.1;7.1
17-04-20;48;1.1;0.5;1.9;4.1;8.1;15.2;17.2;20.7;24.1;7.1
18-04-20;49;1.1;0.5;1.9;4.1;8.1;15.2;17.2;20.7;24.1;7.1
19-04-20;50;1.2;0.5;1.9;4.1;8.2;15.1;17.1;20.7;24.1;7.1
20-04-20;51;1.2;0.5;1.9;4.1;8.2;15.1;17.1;20.7;24.1;7.1
21-04-20;52;1.2;0.5;1.9;4.1;8.2;15.1;17.1;20.7;24.1;7.1
22-04-20;53;1.2;0.5;1.9;4.1;8.2;15.1;17.1;20.7;24.1;7.1
23-04-20;54;1.2;0.5;1.9;4.1;8.2;15.1;17.1;20.7;24.1;7.1
24-04-20;55;1.2;0.5;1.9;4.1;8.2;15.1;17.1;20.7;24.1;7.1
25-04-20;56;1.2;0.5;1.9;4.1;8.2;15.1;17.1;20.7;24.1;7.1
26-04-20;57;1.2;0.5;2;4.1;8;15;17.1;20.7;24.2;7.2
27-04-20;58;1.2;0.5;2;4.1;8;15;17.1;20.7;24.2;7.2
28-04-20;59;1.2;0.5;2;4.1;8;15;17.1;20.7;24.2;7.2
29-04-20;60;1.2;0.5;2;4.1;8;15;17.1;20.7;24.2;7.2
30-04-20;61;1.2;0.5;2;4.1;8;15;17.1;20.7;24.2;7.2
01-05-20;62;1.2;0.5;2;4.1;8;15;17.1;20.7;24.2;7.2
02-05-20;63;1.2;0.5;2;4.1;8;15;17.1;20.7;24.2;7.2
03-05-20;64;1.2;0.5;2;4.1;8;15;17.1;20.7;24.2;7.2
